12410
-0.49656 0.072183 -0.8594 0.098292 11.703 39.663 -0.017579
8.224 41.054 -0.046947 67 50 24
8.1902 40.989 -0.032593 68 51 23
8.2117 41.026 -0.0060715 66 49 23
8.2313 41.007 -0.073462 72 52 27
8.2468 41.007 -0.038719 65 48 20
8.203 41.068 -0.010718 68 50 28
8.2036 40.978 -0.067915 67 50 30
8.1897 40.984 -0.067513 67 50 30
8.2684 41.125 0.0068348 67 51 25
8.2732 41.151 -0.067427 69 52 26
8.2074 41.106 -0.018099 67 49 25
8.2417 41.098 0.011993 65 48 18
8.2952 41.103 -0.06025 70 53 33
8.2329 41.135 -0.026029 67 50 20
8.2688 41.158 -0.03403 71 52 20
8.2494 41.083 -0.051757 69 51 27
8.26 41.202 -0.041224 71 50 29
8.2698 41.197 -0.040919 71 50 29
8.2798 41.272 -0.054106 72 55 25
8.2746 41.24 -0.014392 69 51 29
8.2749 41.234 -0.047182 70 53 27
8.2498 41.256 0.02069 69 52 26
8.256 41.198 -0.075039 68 54 25
8.298 41.19 -0.0073716 71 51 26
8.1899 41.198 0.00042089 68 51 25
8.2895 41.272 -0.021278 69 52 24
8.2979 41.303 -0.062536 72 54 30
8.291 41.311 -0.028036 73 53 26
8.3088 41.342 -0.037144 72 51 34
8.2609 41.33 0.0069965 70 52 30
8.2808 41.281 0.012297 73 53 26
8.3135 41.344 -0.0012049 74 54 27
8.2634 41.359 -0.068413 72 54 30
9.7479 40.708 -0.00026473 72 53 23
9.9091 40.685 -0.029951 45 31 5
9.7697 40.694 -0.019306 75 56 26
9.8594 40.691 -0.026765 75 57 35
9.8069 40.695 -0.042352 74 56 32
9.8264 40.689 -0.0037959 72 56 23
9.8109 40.692 -0.042876 74 56 32
9.8078 40.697 -0.023706 73 53 29
9.8571 40.694 -0.0083797 40 26 0
10.062 40.663 -0.0055598 45 28 8
10.01 40.671 -0.019022 45 27 17
10.041 40.674 -0.023369 47 29 17
9.9932 40.679 -0.03756 48 32 6
9.9485 40.686 -0.016076 45 30 0
9.9271 40.677 -0.012012 43 28 5
9.9604 40.681 0.0018069 43 30 0
9.9526 40.682 -0.033839 45 29 14
9.9937 40.683 -0.0027443 44 26 6
10.04 40.672 -0.040149 46 30 15
9.9133 40.687 0.0055662 43 28 5
10.111 40.67 -0.030015 44 31 15
10.091 40.666 0.0070494 45 28 8
10.151 40.666 -0.016913 45 31 4
10.167 40.654 -0.032002 48 32 7
10.087 40.666 -0.025991 47 31 6
10.13 40.662 0.0031687 44 31 0
10.16 40.662 -0.00052977 43 29 0
10.123 40.664 -0.012759 46 32 6
10.091 40.665 -0.0091561 45 29 4
10.263 40.651 -0.010645 47 29 5
10.232 40.653 -0.0071951 43 32 0
10.199 40.656 -0.0046216 46 31 0
10.225 40.656 -0.022891 47 31 6
10.264 40.649 -0.02558 46 30 15
10.263 40.652 0.0037528 45 30 0
10.202 40.653 -0.018949 48 32 7
10.178 40.666 -0.035909 47 31 16
10.328 40.64 -0.030984 45 33 17
10.357 40.639 -0.019409 44 32 6
10.299 40.646 0.0013579 45 30 1
10.286 40.652 -0.028735 45 31 5
10.361 40.637 -0.0047062 44 29 0
10.294 40.648 -0.013296 47 30 2
10.351 40.642 -0.033915 41 29 3
10.327 40.642 -0.017174 47 33 0
10.325 40.645 -0.002339 45 30 9
10.381 40.64 -0.0085522 44 31 0
10.41 40.635 -0.02482 46 29 11
10.383 40.637 -0.022063 44 31 15
10.385 40.638 0.0054439 45 32 0
10.437 40.632 -0.014296 41 31 4
10.415 40.632 -0.010495 42 33 0
10.42 40.63 0.002556 42 31 1
10.461 40.63 -0.029973 47 32 13
10.463 40.629 -0.016419 43 28 9
10.437 40.631 -0.026998 41 29 7
10.435 40.635 -0.0008451 40 29 0
10.516 40.62 -0.021485 40 27 11
10.469 40.625 -0.0034914 38 25 7
10.517 40.62 -0.0088113 42 28 1
10.534 40.622 -0.011945 39 26 7
10.488 40.627 -0.0063514 41 31 0
10.481 40.631 -0.019766 40 29 7
10.518 40.621 0.0038919 41 27 0
10.532 40.624 -0.024606 43 25 13
10.58 40.616 -0.016779 41 23 11
10.562 40.615 -0.026143 33 26 6
10.58 40.616 -0.028489 36 24 10
10.537 40.621 0.00071638 39 28 0
10.608 40.608 -0.018545 35 26 7
10.608 40.609 -0.0064879 38 27 8
10.588 40.611 -0.0043258 37 25 9
10.61 40.608 0.0052482 36 27 0
10.565 40.613 -0.01385 37 30 1
10.568 40.612 -0.0014919 39 28 0
10.646 40.606 -0.01133 38 28 3
10.623 40.61 -0.020878 36 22 11
10.663 40.606 -0.0025149 33 23 0
10.663 40.605 -0.025495 36 22 11
10.663 40.606 -0.014052 34 27 1
10.645 40.606 -0.023013 35 23 11
10.625 40.61 0.0018926 38 27 0
10.649 40.605 0.0002874 33 26 0
10.625 40.609 -0.0092277 37 25 9
10.698 40.605 -0.0069094 41 29 7
10.687 40.599 -0.015855 35 24 2
10.704 40.598 -0.017917 36 25 5
10.717 40.602 0.0017221 33 27 1
10.688 40.599 -0.0041614 34 25 10
10.703 40.601 0.004126 33 23 0
10.723 40.595 -0.0085652 30 24 0
10.721 40.597 -0.01984 34 24 15
10.752 40.597 -0.0022317 36 23 5
10.756 40.593 -0.012826 33 19 6
10.735 40.598 -0.022043 34 23 17
10.766 40.597 -0.015253 34 18 3
10.755 40.593 -0.012693 33 19 6
10.755 40.593 -0.023772 30 24 2
10.74 40.594 -0.00026793 34 21 12
10.771 40.593 -0.0045857 25 16 11
10.734 40.6 -0.011271 30 20 18
10.803 40.589 0.0021107 37 19 5
10.817 40.588 -0.02044 30 20 10
10.797 40.594 -0.019005 32 19 3
10.818 40.588 -4.915e-05 25 16 1
10.804 40.588 -0.0084718 31 22 7
10.786 40.593 0.0040085 38 20 8
10.787 40.591 -0.016657 33 20 14
10.812 40.593 -0.010729 24 21 2
10.783 40.595 -0.0069216 33 19 8
10.83 40.588 -0.022149 35 19 4
10.834 40.584 -0.012225 25 22 3
9.5215 39.197 -0.15093 3 2 0
7.8938 38.845 -0.14659 2 7 10
9.5085 39.181 -0.19014 0 2 0
9.4666 39.21 -0.13835 0 7 0
9.4725 39.21 -0.20218 3 6 0
9.5024 39.211 -0.1558 6 6 6
9.4615 39.189 -0.19832 0 2 0
9.521 39.232 -0.16025 2 3 0
9.4565 39.213 -0.18354 0 7 0
9.5177 39.19 -0.16973 0 0 0
9.5029 39.204 -0.17555 0 0 0
9.4605 39.276 -0.11249 3 9 0
9.461 39.245 -0.14913 0 6 0
9.4545 39.269 -0.13188 0 8 0
9.4471 39.248 -0.19324 4 4 4
9.4722 39.271 -0.19455 2 10 0
7.7782 38.852 -0.15668 0 3 6
9.4292 39.245 -0.1289 4 4 4
9.4812 39.231 -0.14139 10 7 0
9.514 39.243 -0.12 9 12 5
9.4618 39.232 -0.18658 3 7 8
9.4845 39.231 -0.14138 10 7 0
9.4303 39.233 -0.16953 0 1 0
9.4808 39.267 -0.14981 0 11 0
9.4955 39.263 -0.1692 6 12 2
9.5096 39.272 -0.14773 0 11 0
9.3826 39.268 -0.15985 6 10 0
9.4357 39.29 -0.11842 0 5 0
9.4599 39.313 -0.18385 3 9 0
9.5671 39.324 -0.13358 6 10 0
9.562 39.317 -0.15333 0 3 0
9.4512 39.287 -0.13755 1 7 0
9.5071 39.302 -0.17648 6 3 0
9.5641 39.318 -0.15306 0 3 0
9.4208 39.281 -0.20413 0 10 0
9.5516 39.376 -0.1482 61 36 6
9.414 39.376 -0.096038 58 38 14
9.3996 39.368 -0.1799 62 37 17
9.4132 39.369 -0.11476 60 38 14
9.5476 39.375 -0.087576 62 32 16
9.4112 39.376 -0.15975 59 37 0
9.3313 39.386 -0.16946 57 34 3
9.2816 39.393 -0.13031 58 32 7
9.1952 39.39 -0.11212 55 32 16
9.2681 39.405 -0.15695 56 30 7
9.4197 39.383 -0.13905 64 37 2
9.3741 39.384 -0.12045 61 35 20
9.2283 39.394 -0.18266 56 27 5
9.2968 39.388 -0.14929 56 32 4
9.2443 39.403 -0.15863 56 30 7
9.1347 39.398 -0.14112 57 32 9
9.3949 39.387 -0.18615 61 37 3
9.2662 39.392 -0.19997 54 31 0
9.3466 39.387 -0.1025 57 33 19
9.4211 39.384 -0.20483 63 37 14
9.0799 39.415 -0.14968 58 34 6
9.0019 39.414 -0.12896 57 33 19
9.1419 39.407 -0.19138 56 30 5
9.1216 39.411 -0.094242 58 37 8
9.1407 39.422 -0.21869 57 31 14
9.0781 39.438 -0.22929 59 36 18
9.0417 39.427 -0.17764 56 35 6
9.1684 39.416 -0.16608 60 32 5
9.0256 39.425 -0.17865 56 35 6
9.1587 39.401 -0.2145 54 36 14
9.0169 39.417 -0.20321 57 33 5
8.9946 39.415 -0.2048 57 33 5
9.1391 39.405 -0.11814 55 32 16
7.9058 39.386 -0.1543 22 16 2
7.9085 39.366 -0.22186 25 23 11
7.9188 39.379 -0.2976 31 23 2
7.9395 39.356 -0.14569 22 22 10
7.9509 39.414 -0.30248 16 12 11
8.0052 39.363 -0.2505 30 22 1
7.8917 39.375 -0.18922 25 16 17
7.6933 39.314 -0.22669 27 22 1
7.8693 39.417 -0.1629 8 6 7
7.928 39.41 -0.19374 10 7 2
7.9675 39.403 -0.22646 24 13 0
7.8789 39.342 -0.29229 29 22 2
7.9407 39.391 -0.26116 27 17 5
7.8293 39.461 -0.247 17 3 2
7.8919 39.498 -0.25027 17 10 4
7.8141 39.415 -0.27771 14 12 0
7.8815 39.494 -0.14188 19 6 0
7.9216 39.51 -0.2156 15 4 0
7.9314 39.48 -0.31876 16 0 0
7.8921 39.519 -0.17988 18 9 10
7.9407 39.477 -0.20777 14 6 3
8.0387 39.45 -0.19546 13 14 6
7.9902 39.493 -0.27799 12 12 4
7.8683 39.429 -0.23928 21 11 0
7.903 39.452 -0.16835 22 11 9
7.8897 39.461 -0.13307 22 12 2
7.9862 39.516 -0.32114 18 3 6
7.9228 39.486 -0.17338 18 3 6
8.037 39.453 -0.30195 19 11 0
7.8757 39.566 -0.26732 22 8 0
7.8998 39.522 -0.29294 18 10 8
7.9281 39.553 -0.189 21 5 6
7.9809 39.579 -0.22635 21 8 0
7.9078 39.611 -0.23762 20 7 0
7.89 39.606 -0.12628 19 6 0
7.9161 39.563 -0.15463 19 7 9
7.9188 39.591 -0.30775 24 12 0
7.9244 39.533 -0.25826 19 6 0
7.9273 39.53 -0.14781 19 7 11
7.8757 39.556 -0.3046 20 5 8
7.9491 39.598 -0.15931 21 8 0
7.8775 39.542 -0.22465 20 9 3
7.9128 39.601 -0.27129 21 8 0
7.9308 39.587 -0.19439 24 7 0
7.8994 39.68 -0.25287 23 8 1
7.9623 39.67 -0.28345 27 7 0
8.0104 39.714 -0.25455 27 9 0
7.9411 39.621 -0.2017 22 9 0
7.9857 39.626 -0.30917 18 6 8
7.8689 39.675 -0.14225 27 11 0
8.0075 39.709 -0.14261 21 6 3
7.9127 39.635 -0.27881 22 7 0
7.9815 39.665 -0.17131 22 8 8
7.9242 39.631 -0.1668 24 9 4
7.9631 39.704 -0.28983 23 9 0
7.9797 39.641 -0.13069 19 10 0
8.0261 39.646 -0.23662 20 10 0
7.9451 39.655 -0.20779 22 8 0
7.917 39.7 -0.18121 25 11 0
7.973 39.69 -0.214 26 12 3
7.9592 39.66 -0.3184 23 4 0
8.0005 39.792 -0.23191 25 11 0
7.9497 39.739 -0.29894 24 12 0
8.0276 39.782 -0.26433 25 4 0
8.0403 39.819 -0.12886 28 15 0
8.0277 39.807 -0.30726 25 7 5
7.9841 39.733 -0.18498 25 10 7
8.0502 39.775 -0.15516 23 8 5
7.9894 39.724 -0.2188 24 10 1
7.9336 39.769 -0.19581 21 6 3
7.9478 39.753 -0.11804 22 13 0
7.9612 39.787 -0.12355 28 17 0
7.9267 39.775 -0.30653 26 9 1
7.9717 39.743 -0.15121 25 6 8
8.0061 39.811 -0.16244 27 10 0
8.0196 39.801 -0.19768 28 8 0
7.9841 39.818 -0.27588 29 9 0
7.9736 39.748 -0.26276 27 9 0
7.9956 39.758 -0.22553 22 15 0
7.9937 39.88 -0.17714 28 10 6
8.061 39.867 -0.20957 26 13 0
8.0083 39.836 -0.2047 25 8 1
8.0131 39.845 -0.17083 24 9 6
8.0498 39.849 -0.27888 25 7 0
7.9655 39.927 -0.15114 23 10 1
8.0118 39.861 -0.24661 28 8 0
8.0031 39.889 -0.14273 27 9 0
8.0602 39.911 -0.18139 26 9 2
8.0254 39.825 -0.23883 28 12 0
7.9629 39.908 -0.22132 32 10 10
8.0041 39.896 -0.25363 31 12 5
8.022 39.886 -0.2893 31 14 0
8.0046 39.854 -0.13704 37 19 9
8.0698 39.918 -0.29181 28 10 6
8.0456 39.999 -0.27274 31 13 1
8.0741 39.936 -0.22207 32 17 0
8.0866 39.978 -0.19366 23 14 0
8.0453 40.026 -0.1687 31 12 5
8.0695 39.963 -0.12033 31 12 5
7.9791 39.997 -0.16452 29 12 4
7.9894 39.959 -0.30624 27 14 0
8.0051 39.933 -0.11559 32 15 7
8.0413 39.973 -0.23056 30 10 0
8.0493 39.963 -0.2659 31 13 0
8.0056 40.003 -0.12988 34 14 7
8.0092 39.931 -0.25994 30 12 0
8.0903 39.986 -0.30423 30 14 0
8.0189 40.02 -0.20581 28 10 0
7.9858 39.951 -0.19285 27 12 5
8.0569 40.007 -0.23859 28 15 0
8.0527 39.955 -0.1552 27 13 4
8.0414 40.044 -0.24596 32 13 0
8.0867 40.048 -0.20819 32 13 0
8.0415 40.071 -0.14283 30 13 5
8.0539 40.078 -0.25226 30 13 3
8.0454 40.097 -0.18348 30 11 5
8.0791 40.103 -0.29457 32 13 0
8.0937 40.118 -0.22198 32 16 0
8.058 40.06 -0.17617 32 13 6
8.0118 40.092 -0.21921 31 12 0
8.1044 40.029 -0.13348 30 10 1
7.981 40.086 -0.10985 30 16 3
8.0763 40.112 -0.25836 33 15 1
8.0496 40.034 -0.28082 29 9 0
8.0433 40.071 -0.2878 31 13 0
8.1078 40.098 -0.14638 31 17 4
8.0661 40.112 -0.11391 39 14 9
8.0305 40.162 -0.23383 32 17 0
8.0872 40.146 -0.26562 30 14 1
8.0272 40.236 -0.24749 34 14 3
8.0103 40.219 -0.17122 34 16 2
8.107 40.178 -0.12622 37 24 5
8.1293 40.185 -0.23453 33 16 0
8.1059 40.197 -0.20135 33 13 2
8.0642 40.139 -0.15618 34 14 7
8.0669 40.185 -0.2728 36 14 3
7.9985 40.156 -0.12345 32 16 1
8.0685 40.14 -0.30025 36 12 8
8.0504 40.222 -0.13515 36 11 4
8.0799 40.164 -0.19694 32 12 3
8.0913 40.218 -0.27967 32 15 0
8.111 40.169 -0.16024 28 13 0
8.0048 40.138 -0.19255 30 10 0
8.0567 40.302 -0.11235 39 23 0
8.1425 40.283 -0.28896 36 17 1
8.0936 40.316 -0.18818 34 17 0
8.116 40.239 -0.174 32 14 0
8.1531 40.261 -0.21162 39 17 4
8.1171 40.247 -0.13917 33 18 0
7.9687 40.346 -0.15856 35 18 8
8.1311 40.256 -0.24775 36 17 1
8.1091 40.305 -0.22107 37 19 0
8.1393 40.328 -0.26257 37 15 0
8.0123 40.301 -0.14859 35 18 1
8.1434 40.291 -0.25397 37 15 0
8.0784 40.237 -0.21118 40 15 8
8.0298 40.27 -0.10782 39 23 8
8.1195 40.327 -0.117 39 21 0
8.0869 40.255 -0.28649 34 11 3
8.1002 40.327 -0.30023 38 19 3
8.0731 40.283 -0.18035 39 15 5
8.338 40.306 -0.18269 37 20 0
8.0571 40.421 -0.10015 40 28 6
8.1228 40.421 -0.20951 40 26 13
7.7439 40.477 -0.14883 38 24 15
8.0193 40.383 -0.1316 41 16 12
8.2441 40.367 -0.16342 33 14 8
8.1221 40.376 -0.23858 33 17 0
7.8387 40.41 -0.17762 39 18 1
8.2691 40.312 -0.22071 38 16 3
8.0313 40.386 -0.27694 35 23 1
8.0225 40.434 -0.24958 39 27 3
8.175 40.431 -0.28299 43 26 6
7.9761 40.435 -0.29017 42 27 6
8.2255 40.414 -0.13535 47 31 14
8.1087 40.432 -0.1753 43 29 18
8.2901 40.351 -0.19415 37 20 2
8.1014 40.478 -0.14748 57 42 21
8.1622 40.457 -0.17954 59 44 23
8.15 40.527 -0.23001 58 41 24
8.1687 40.53 -0.19336 60 44 19
8.1243 40.444 -0.10678 62 47 26
8.0669 40.516 -0.19179 58 42 25
8.1238 40.525 -0.26768 57 40 20
8.131 40.494 -0.22334 57 40 23
8.1457 40.513 -0.11909 59 43 26
8.1389 40.476 -0.29157 61 44 26
8.1627 40.449 -0.21327 60 41 24
8.1235 40.488 -0.25823 57 40 22
8.1171 40.451 -0.25143 63 47 22
8.114 40.55 -0.16254 59 44 25
8.1208 40.511 -0.15416 60 45 22
8.073 40.492 -0.11507 59 44 25
8.1282 40.615 -0.20855 59 44 15
8.1459 40.632 -0.10475 63 45 25
8.1522 40.602 -0.24343 60 42 28
8.1448 40.566 -0.2377 60 43 23
8.1474 40.572 -0.20203 60 43 23
8.1524 40.623 -0.13978 60 43 25
8.1323 40.638 -0.28866 63 45 25
8.1779 40.588 -0.27757 59 47 25
8.1465 40.641 -0.25225 60 43 23
8.1652 40.651 -0.18074 61 43 23
8.0746 40.668 -0.22152 58 43 20
8.1611 40.584 -0.13269 58 43 22
8.1356 40.597 -0.09943 61 46 25
8.1921 40.568 -0.16568 59 43 26
8.1304 40.561 -0.091298 60 44 19
8.1569 40.555 -0.27164 57 42 21
8.1324 40.622 -0.17663 60 44 27
8.1316 40.554 -0.1262 60 43 26
8.169 40.74 -0.12726 62 45 28
8.1552 40.699 -0.15517 63 45 23
8.1854 40.683 -0.18788 61 44 26
8.2045 40.722 -0.16097 63 46 26
8.1948 40.701 -0.087757 62 44 24
8.1548 40.668 -0.11286 62 47 28
8.1562 40.705 -0.12017 63 47 22
8.1806 40.715 -0.23041 60 43 26
8.1662 40.747 -0.092466 62 45 25
8.2403 40.729 -0.26905 62 45 25
8.1807 40.754 -0.23606 63 46 20
8.1392 40.721 -0.27004 61 42 25
8.1551 40.661 -0.14789 60 45 26
8.1646 40.682 -0.22355 60 44 21
8.208 40.714 -0.19344 62 45 25
8.2084 40.662 -0.25519 61 43 21
8.1544 40.789 -0.10009 64 48 23
8.1841 40.798 -0.20838 62 45 28
8.1993 40.787 -0.24247 63 48 29
8.1791 40.852 -0.14824 65 50 27
8.1737 40.788 -0.27986 63 46 26
8.1711 40.764 -0.20358 62 45 28
8.1633 40.877 -0.26424 61 47 21
8.1823 40.805 -0.17546 62 45 25
8.2281 40.804 -0.10602 65 47 25
8.1528 40.822 -0.14286 65 47 23
8.2436 40.804 -0.28621 66 47 30
8.2043 40.85 -0.11473 64 47 27
8.0945 40.867 -0.22382 63 45 25
8.1612 40.774 -0.1693 62 46 21
8.0975 40.859 -0.26141 62 44 30
8.1826 40.774 -0.13271 64 48 25
8.1565 40.853 -0.1843 65 48 28
8.2213 40.954 -0.16914 66 49 19
8.2078 40.887 -0.12107 66 50 24
8.2105 40.919 -0.16156 67 50 30
8.1521 40.96 -0.27941 67 50 32
8.1863 40.901 -0.086222 65 49 23
8.1558 40.886 -0.2294 64 48 23
8.1853 40.954 -0.24021 65 47 23
8.2282 40.874 -0.15382 65 49 26
8.2241 40.959 -0.13469 67 51 28
8.2597 40.933 -0.20061 65 47 23
8.1484 40.934 -0.20001 65 48 22
8.1935 40.931 -0.12861 66 50 27
8.1943 40.879 -0.19059 64 48 25
8.2416 40.895 -0.23058 64 48 22
8.2433 40.888 -0.2663 66 50 27
8.2419 40.958 -0.10013 68 49 32
8.2069 40.932 -0.092214 67 49 27
8.2246 40.973 -0.28156 67 49 25
8.2241 41.004 -0.1083 66 50 27
8.2445 41.023 -0.18317 69 51 31
8.2294 41.046 -0.080331 69 50 34
8.2619 40.971 -0.20991 64 48 23
8.2603 41.062 -0.15647 68 50 30
8.2277 41.024 -0.2207 67 51 26
8.1516 41.019 -0.17958 65 49 24
8.2397 41.058 -0.22627 68 50 28
8.217 41 -0.14136 66 49 31
8.2538 40.968 -0.24449 65 48 22
8.2355 41.066 -0.19037 70 50 26
8.2753 41.038 -0.25929 67 50 24
8.2368 41.032 -0.1496 67 48 32
8.2313 41.016 -0.25337 66 50 24
8.2202 41.044 -0.11425 68 52 29
8.2541 41.137 -0.20631 66 50 25
8.2066 41.129 -0.1308 69 53 30
8.2483 41.145 -0.17065 69 51 29
8.2917 41.138 -0.10131 69 54 25
8.2515 41.099 -0.19718 69 49 22
8.2394 41.098 -0.23331 66 50 27
8.2515 41.173 -0.24929 69 51 27
8.2375 41.077 -0.12108 69 52 32
8.2556 41.182 -0.17727 69 53 27
8.1824 41.209 -0.21784 69 51 27
8.2313 41.124 -0.096628 70 52 28
8.3099 41.125 -0.13389 68 53 32
8.221 41.14 -0.27944 68 51 33
8.2228 41.145 -0.24276 68 49 32
8.2195 41.118 -0.16456 67 49 27
8.2757 41.067 -0.087033 70 53 27
8.2253 41.098 -0.26966 67 51 26
8.2837 41.141 -0.10073 69 54 25
8.2635 41.264 -0.15565 68 53 24
8.2759 41.218 -0.15183 71 53 29
